Date,Open,High,Low,Close,Volume,PriceMode
2024-05-28,473.01,478.67,469.6,478.43,2575270,adjusted
2024-05-29,472.78,482.79,472.595,477.6,2214810,adjusted
2024-05-30,464.9,466.82,444.84,445.87,5606896,adjusted
2024-05-31,447.72,448.23,433.97,444.76,7487507,adjusted
2024-06-03,447.58,449.84,436.58,439.02,3967669,adjusted
2024-06-04,442.82,450.12,441.59,448.37,3183594,adjusted
2024-06-05,449.19,458.6,448.37,455.8,3295029,adjusted
2024-06-06,457.7,467.8515,456.87,458.13,3234970,adjusted
2024-06-07,458.13,468.93,458.13,465.43,2684170,adjusted
2024-06-10,453.84,462.23,451.51,459.94,3212350,adjusted
2024-06-11,456.91,462.74,455.5,462.69,2723659,adjusted
2024-06-12,470.0,471.12,459.16,459.87,3647447,adjusted
2024-06-13,457.87,462.3899,453.5,458.74,8557963,adjusted
2024-06-14,530.25,534.45,521.88,525.31,14846614,adjusted
2024-06-17,525.51,525.94,505.38,518.74,7163820,adjusted
2024-06-18,514.71,530.37,513.13,522.25,4225943,adjusted
2024-06-20,527.665,533.23,520.4,522.95,5752373,adjusted
2024-06-21,530.31,535.0,524.715,533.44,6614086,adjusted
2024-06-24,532.1,534.58,523.48,524.17,3067824,adjusted
2024-06-25,526.2,529.68,522.24,526.88,3144202,adjusted
2024-06-26,528.58,530.66,526.01,528.66,2931667,adjusted
2024-06-27,533.21,549.16,532.1,546.76,4734063,adjusted
2024-06-28,549.7,558.48,548.01,555.54,5084543,adjusted
2024-07-01,551.37,561.21,549.73,560.01,3070159,adjusted
2024-07-02,560.0,570.14,560.0,567.71,3054491,adjusted
2024-07-03,564.292,571.83,564.0001,570.15,1664373,adjusted
2024-07-05,570.91,580.55,568.92,578.34,2808635,adjusted
2024-07-08,573.18,576.745,563.92,575.4,3007422,adjusted
2024-07-09,573.05,575.01,562.46,566.02,2169020,adjusted
2024-07-10,564.71,566.93,558.21,564.55,2368443,adjusted
2024-07-11,564.0,572.62,557.09,557.63,3191358,adjusted
2024-07-12,555.1,562.49,552.315,559.05,2013985,adjusted
2024-07-15,560.23,568.23,560.23,565.71,1887763,adjusted
2024-07-16,564.6,570.1,562.08,566.54,1539875,adjusted
2024-07-17,563.93,565.0,556.46,563.09,2316265,adjusted
2024-07-18,564.18,564.26,556.07,556.85,2184657,adjusted
2024-07-19,557.05,561.09,548.96,551.0,2601942,adjusted
2024-07-22,558.65,560.19,552.7074,554.82,2391696,adjusted
2024-07-23,556.49,557.249,544.44,546.01,2363881,adjusted
2024-07-24,543.8,544.71,530.35,531.04,2630081,adjusted
2024-07-25,536.8,542.28,527.59,532.15,2136496,adjusted
2024-07-26,535.35,545.4999,533.33,542.44,2090007,adjusted
2024-07-29,544.3,544.3,535.19,536.61,1590551,adjusted
2024-07-30,541.85,543.67,530.9501,538.71,1566875,adjusted
2024-07-31,547.05,555.55,543.77,551.65,2776002,adjusted
2024-08-01,549.99,561.98,540.24,546.41,2075410,adjusted
2024-08-02,535.78,536.84,519.68,526.17,2729113,adjusted
2024-08-05,504.23,515.9,500.0,509.32,3432155,adjusted
2024-08-06,513.69,519.16,509.01,514.2,2076327,adjusted
2024-08-07,520.95,531.005,512.86,513.62,1663682,adjusted
2024-08-08,520.59,531.07,519.56,530.24,2155115,adjusted
2024-08-09,528.02,537.28,528.02,536.3,1272635,adjusted
2024-08-12,536.04,538.08,525.77,530.93,1450410,adjusted
2024-08-13,530.93,537.72,527.9,535.22,3063918,adjusted
2024-08-14,536.62,542.9205,533.2,539.79,1915589,adjusted
2024-08-15,545.19,557.22,545.01,554.16,2182382,adjusted
2024-08-16,552.35,554.76,547.8,553.46,1541726,adjusted
2024-08-19,550.59,563.77,550.59,563.12,1423293,adjusted
2024-08-20,564.48,568.18,559.61,562.25,1219609,adjusted
2024-08-21,562.13,566.6,557.91,565.79,1401708,adjusted
2024-08-22,567.07,572.0,555.65,557.44,1627658,adjusted
2024-08-23,565.45,566.52,552.5,558.3,2023465,adjusted
2024-08-26,555.03,560.26,555.03,559.44,1387479,adjusted
2024-08-27,554.4,569.52,554.3439,567.82,1404415,adjusted
